model,horizon,observations,mae,rmse,mse_variance,variance_bias,mean_qlike,mz_intercept,mz_slope,mz_r_squared,directional_accuracy_vs_market_iv,directional_observations
optimized_blend,3,1092,7.300274030145879,10.53853625147602,0.00597291157315098,0.0006470091093703709,0.7745360233070367,0.01339980868520206,0.5516164157394573,0.06613526691082283,,0.0
optimized_blend,5,1090,6.164614840632762,9.433439868408476,0.00436498607497743,0.0007752530755527531,0.5221239966320727,0.016315055483866477,0.45842344845427613,0.06561968704902543,,0.0
optimized_blend,10,1085,5.47293826439158,8.613075587503017,0.0028875574006922374,0.0011788235683650506,0.39321388265799856,0.018706712425679232,0.3735263969010945,0.0713417824707483,,0.0
realized_10,1,1094,9.25889916753229,12.852943612018203,0.010056026703358726,0.0005916529632299909,1.754276009208428,0.017024766020388233,0.42292941871373185,0.04691326637717719,,0.0
realized_10,2,1093,8.864992182461359,12.645104270652386,0.012063628844291947,-0.0006335490375444776,1.6186926390276133,0.016634792005362574,0.47590662325723554,0.04812352891818805,,0.0
realized_10,3,1092,7.0560206480498575,10.411190816081985,0.006492431721192257,-0.00014530041462409494,0.91749263234444,0.017714613631299888,0.42462421466736194,0.07494562184329412,,0.0
realized_10,5,1090,5.956896351913006,9.254491957634205,0.004978305344856213,-0.0002439893820811081,0.6416679885468886,0.01985962942118493,0.3576507992161066,0.07650118526231164,,0.0
realized_10,10,1085,5.400883383584,8.643026469333874,0.0037570965442931523,5.540253693496906e-06,0.5388429072900022,0.022464872149185702,0.26492172168072853,0.07017933410583432,,0.0
realized_20,1,1094,9.459815239400896,12.940862731810979,0.009712381310085075,0.0004517669387929513,1.681849360220638,0.015211709155469554,0.48454102791287246,0.03710939788011369,,0.0
realized_20,2,1093,8.935020695885452,12.764117061051273,0.011869964906435335,-0.0007674710893115418,1.5102914101120741,0.015254471836846407,0.5234125427282771,0.03507821299799885,,0.0
realized_20,3,1092,7.039092105684394,10.464385278094646,0.006164941475804878,-0.0002743322006787983,0.8288441445079884,0.01602680404044247,0.4819346190788261,0.05817365621886772,,0.0
realized_20,5,1090,5.846462262326414,9.195014536484386,0.0044803324078495224,-0.0003571371410087546,0.5631957835212745,0.017814718901859008,0.4261941956071935,0.06545342060407144,,0.0
realized_20,10,1085,5.151202693380909,8.275394470766004,0.0029882941585838768,-7.41924930319249e-05,0.4262892349620593,0.01960447723012559,0.35943179847969436,0.07779823613587689,,0.0
realized_5,1,1094,9.517560861281297,13.290336125369938,0.010971136473888194,0.0008558769844226837,2.047589393506171,0.01928247610968816,0.34597783395815795,0.05248641798814535,,0.0
realized_5,2,1093,9.089769900217751,13.023617528456043,0.012757433929010617,-0.0003613995555096223,1.9398934812144681,0.018727307868133453,0.40377071315832047,0.057911019845574896,,0.0
realized_5,3,1092,7.408901391230952,10.83570848735483,0.007335570098413577,0.00013222875964895758,1.2785945531235159,0.01972325513258704,0.3556113311255332,0.0878736469833491,,0.0
realized_5,5,1090,6.42535011516748,9.809835946741536,0.006021101641870981,5.365160324595052e-05,1.107224160889162,0.021770090006086814,0.2922409419813188,0.08538438145150795,,0.0
realized_5,10,1085,6.040460976654627,9.253580312834089,0.0050043712545909304,0.0002532418417957658,0.9755329403748314,0.023986915022776525,0.2134016684556278,0.07612501920781045,,0.0
realized_60,1,1094,9.881421921590043,13.234576295647628,0.009636309034906225,0.0009687253941481074,1.6823601708385116,0.013864189516242199,0.520038636161564,0.02064896589295806,,0.0
realized_60,2,1093,9.403756252449506,13.009637425472325,0.01186096579235186,-0.0002505835778305539,1.4729180598304223,0.014031946206799746,0.5542067649608401,0.01899613676609413,,0.0
