ticker,date,close,source
QQQ,2023-08-02,374.390000,robinhood_equity_day
QQQ,2023-08-03,373.790000,robinhood_equity_day
QQQ,2023-08-04,372.040000,robinhood_equity_day
QQQ,2023-08-07,375.190000,robinhood_equity_day
QQQ,2023-08-08,372.000000,robinhood_equity_day
QQQ,2023-08-09,367.910000,robinhood_equity_day
QQQ,2023-08-10,368.590000,robinhood_equity_day
QQQ,2023-08-11,366.240000,robinhood_equity_day
QQQ,2023-08-14,370.350000,robinhood_equity_day
QQQ,2023-08-15,366.420000,robinhood_equity_day
QQQ,2023-08-16,362.540000,robinhood_equity_day
QQQ,2023-08-17,358.580000,robinhood_equity_day
QQQ,2023-08-18,358.130000,robinhood_equity_day
QQQ,2023-08-21,363.900000,robinhood_equity_day
QQQ,2023-08-22,363.380000,robinhood_equity_day
QQQ,2023-08-23,369.110000,robinhood_equity_day
QQQ,2023-08-24,361.220000,robinhood_equity_day
QQQ,2023-08-25,364.020000,robinhood_equity_day
QQQ,2023-08-28,366.760000,robinhood_equity_day
QQQ,2023-08-29,374.770000,robinhood_equity_day
QQQ,2023-08-30,376.860000,robinhood_equity_day
QQQ,2023-08-31,377.990000,robinhood_equity_day
QQQ,2023-09-01,377.590000,robinhood_equity_day
QQQ,2023-09-05,378.070000,robinhood_equity_day
QQQ,2023-09-06,374.740000,robinhood_equity_day
QQQ,2023-09-07,372.060000,robinhood_equity_day
QQQ,2023-09-08,372.580000,robinhood_equity_day
QQQ,2023-09-11,376.970000,robinhood_equity_day
QQQ,2023-09-12,372.790000,robinhood_equity_day
QQQ,2023-09-13,374.210000,robinhood_equity_day
QQQ,2023-09-14,377.270000,robinhood_equity_day
QQQ,2023-09-15,370.810000,robinhood_equity_day
QQQ,2023-09-18,370.660000,robinhood_equity_day
QQQ,2023-09-19,369.870000,robinhood_equity_day
QQQ,2023-09-20,364.540000,robinhood_equity_day
QQQ,2023-09-21,357.860000,robinhood_equity_day
QQQ,2023-09-22,357.910000,robinhood_equity_day
QQQ,2023-09-25,359.610000,robinhood_equity_day
QQQ,2023-09-26,354.210000,robinhood_equity_day
QQQ,2023-09-27,355.040000,robinhood_equity_day
QQQ,2023-09-28,358.010000,robinhood_equity_day
QQQ,2023-09-29,358.270000,robinhood_equity_day
QQQ,2023-10-02,361.260000,robinhood_equity_day
QQQ,2023-10-03,354.920000,robinhood_equity_day
QQQ,2023-10-04,359.750000,robinhood_equity_day
QQQ,2023-10-05,358.690000,robinhood_equity_day
QQQ,2023-10-06,364.700000,robinhood_equity_day
QQQ,2023-10-09,366.560000,robinhood_equity_day
QQQ,2023-10-10,368.590000,robinhood_equity_day
QQQ,2023-10-11,371.220000,robinhood_equity_day
QQQ,2023-10-12,369.930000,robinhood_equity_day
QQQ,2023-10-13,365.280000,robinhood_equity_day
QQQ,2023-10-16,369.410000,robinhood_equity_day
QQQ,2023-10-17,368.200000,robinhood_equity_day
QQQ,2023-10-18,363.370000,robinhood_equity_day
QQQ,2023-10-19,359.970000,robinhood_equity_day
QQQ,2023-10-20,354.600000,robinhood_equity_day
QQQ,2023-10-23,355.670000,robinhood_equity_day
QQQ,2023-10-24,359.130000,robinhood_equity_day
QQQ,2023-10-25,350.340000,robinhood_equity_day
QQQ,2023-10-26,343.660000,robinhood_equity_day
QQQ,2023-10-27,345.310000,robinhood_equity_day
QQQ,2023-10-30,349.200000,robinhood_equity_day
QQQ,2023-10-31,350.870000,robinhood_equity_day
QQQ,2023-11-01,356.960000,robinhood_equity_day
QQQ,2023-11-02,363.440000,robinhood_equity_day
QQQ,2023-11-03,367.710000,robinhood_equity_day
QQQ,2023-11-06,369.210000,robinhood_equity_day
QQQ,2023-11-07,372.700000,robinhood_equity_day
QQQ,2023-11-08,372.940000,robinhood_equity_day
QQQ,2023-11-09,370.070000,robinhood_equity_day
QQQ,2023-11-10,378.390000,robinhood_equity_day
QQQ,2023-11-13,377.210000,robinhood_equity_day
QQQ,2023-11-14,385.330000,robinhood_equity_day
QQQ,2023-11-15,385.620000,robinhood_equity_day
QQQ,2023-11-16,385.950000,robinhood_equity_day
QQQ,2023-11-17,386.040000,robinhood_equity_day
QQQ,2023-11-20,390.740000,robinhood_equity_day
QQQ,2023-11-21,388.470000,robinhood_equity_day
QQQ,2023-11-22,390.060000,robinhood_equity_day
QQQ,2023-11-24,389.510000,robinhood_equity_day
QQQ,2023-11-27,389.170000,robinhood_equity_day
QQQ,2023-11-28,390.190000,robinhood_equity_day
QQQ,2023-11-29,389.810000,robinhood_equity_day
QQQ,2023-11-30,388.830000,robinhood_equity_day
QQQ,2023-12-01,389.940000,robinhood_equity_day
QQQ,2023-12-04,386.320000,robinhood_equity_day
QQQ,2023-12-05,387.290000,robinhood_equity_day
QQQ,2023-12-06,385.050000,robinhood_equity_day
QQQ,2023-12-07,390.430000,robinhood_equity_day
QQQ,2023-12-08,392.170000,robinhood_equity_day
QQQ,2023-12-11,395.520000,robinhood_equity_day
QQQ,2023-12-12,398.670000,robinhood_equity_day
QQQ,2023-12-13,403.740000,robinhood_equity_day
QQQ,2023-12-14,403.390000,robinhood_equity_day
QQQ,2023-12-15,405.340000,robinhood_equity_day
QQQ,2023-12-18,407.080000,robinhood_equity_day
QQQ,2023-12-19,409.160000,robinhood_equity_day
QQQ,2023-12-20,403.080000,robinhood_equity_day
QQQ,2023-12-21,407.770000,robinhood_equity_day
QQQ,2023-12-22,408.380000,robinhood_equity_day
QQQ,2023-12-26,410.880000,robinhood_equity_day
QQQ,2023-12-27,411.500000,robinhood_equity_day
QQQ,2023-12-28,411.300000,robinhood_equity_day
QQQ,2023-12-29,409.520000,robinhood_equity_day
QQQ,2024-01-02,402.590000,robinhood_equity_day
QQQ,2024-01-03,398.330000,robinhood_equity_day
QQQ,2024-01-04,396.280000,robinhood_equity_day
QQQ,2024-01-05,396.750000,robinhood_equity_day
QQQ,2024-01-08,404.950000,robinhood_equity_day
QQQ,2024-01-09,405.750000,robinhood_equity_day
QQQ,2024-01-10,408.500000,robinhood_equity_day
QQQ,2024-01-11,409.350000,robinhood_equity_day
QQQ,2024-01-12,409.560000,robinhood_equity_day
QQQ,2024-01-16,409.520000,robinhood_equity_day
QQQ,2024-01-17,407.210000,robinhood_equity_day
QQQ,2024-01-18,412.990000,robinhood_equity_day
QQQ,2024-01-19,421.180000,robinhood_equity_day
QQQ,2024-01-22,421.730000,robinhood_equity_day
